name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL),_src
고창 복분자원액 100%,,기타,54000,real,,55,13.0,15.0,0.0,0.0,0.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/5096/thumb/999,,https://www.oasis.co.kr/product/detail/5096,oasis
[모던구루] 수제 그래놀라 9종,,간식/디저트,11000,real,,478,14.0,56.0,13.0,23.0,42.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/29048/thumb/999,,https://www.oasis.co.kr/product/detail/29048,oasis
매일유업 매일두유 99.9 950ml 대용량 (6팩/12팩),,유제품,16300,real,,50,0.95,2.11,4.74,2.63,68.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/20404/thumb/999,,https://www.oasis.co.kr/product/detail/20404,oasis
[4주 패키지] 키토제니 방탄커피 24개입,,음료,77500,real,,70,0.0,0.87,0.44,7.09,4.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/38711/thumb/999,,https://www.oasis.co.kr/product/detail/38711,oasis
[뉴팜헬스케어] 임금님 경흑고 꿀 흑삼 12g x 30포,,기타,159000,real,,228,16.11,55.14,1.49,0.12,14.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/130322/thumb/999,,https://www.oasis.co.kr/product/detail/130322,oasis
유기농 파머스칩 현미호라산밀 현미칩 쌀과자 60g x 30봉,,간식/디저트,57000,real,,390,0.37,83.65,9.0,3.0,162.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/96998/thumb/999,,https://www.oasis.co.kr/product/detail/96998,oasis
[무료배송] 프랑스어 사블레 초콜릿 쿠키 선물세트,,간식/디저트,47530,real,,434,23.52,45.71,5.32,25.66,67.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/69708/thumb/999,,https://www.oasis.co.kr/product/detail/69708,oasis
[모던구루]수제 그래놀라 베스트 4종 선물세트,,간식/디저트,41200,real,,478,14.0,56.0,13.0,23.0,42.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/29075/thumb/999,,https://www.oasis.co.kr/product/detail/29075,oasis
아몬드가 들어간 국산 고구마칩 고칩스 오리지널 (40g*10개),,기타,39700,real,,470,30.0,60.0,14.0,20.0,20.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/132286/thumb/999,,https://www.oasis.co.kr/product/detail/132286,oasis
시크혜 단호박 12병 / 24병,,기타,34800,real,,61,11.43,14.29,0.41,0.0,0.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/70385/thumb/999,,https://www.oasis.co.kr/product/detail/70385,oasis
웰그린 프리미엄 스테비아 커피믹스 선물세트 저칼로리 무설탕 믹스 커피,,음료,32900,real,무첨가당,303,0.0,73.74,0.0,14.14,354.0,,,스테비아,,,20,https://oasisprodproduct.edge.naverncp.com/119067/thumb/999,,https://www.oasis.co.kr/product/detail/119067,oasis
[모던구루] 수제 그래놀라 베스트 3종 선물세트,,간식/디저트,32100,real,,478,14.0,56.0,13.0,23.0,42.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/29073/thumb/999,,https://www.oasis.co.kr/product/detail/29073,oasis
엄마애손 국내산 자색 돼지감자즙 진액 (100mlx60포),,건강기능식품,31800,real,,90,3.2,21.2,1.4,0.0,49.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/64133/thumb/999,,https://www.oasis.co.kr/product/detail/64133,oasis
이캄 화이트 초콜릿 커버춰 32% 1kg 이탈리아 프리미엄 초콜렛,,간식/디저트,28500,real,,598,40.8,50.1,6.3,41.4,53.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/128181/thumb/999,,https://www.oasis.co.kr/product/detail/128181,oasis
건망고 슬라이스 1kg,,기타,28400,real,,346,64.0,70.0,3.0,6.0,0.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/128603/thumb/999,,https://www.oasis.co.kr/product/detail/128603,oasis
러브앤피넛 100% 국산 땅콩버터 380g / 스무스 크런치 선택,,유제품,27500,real,,605,7.0,19.0,24.0,48.0,10.0,,,,,,20,https://oasisprodproduct.edge.naverncp.com/90646/thumb/999,,https://www.oasis.co.kr/product/detail/90646,oasis
