name,brand,category,price,price_source(real/danawa/estimated),claim_type,kcal,sugar_g,carb_g,protein_g,fat_g,sodium_mg,serving_size,serving_unit,sweeteners(쉼표구분),sweetener_amounts(이름:g),allergens(쉼표구분),stock,image_url,nutrition_facts_url,verification_source(제품 상세페이지 URL),_src
저당 망고 쫀득바 아이스크림,라라스윗,간식/디저트,28900,real,,80,4,24,1,1.2,30,75,mL,"알룰로스,아세설팜칼륨,효소처리스테비아,수크랄로스","알룰로스:3,아세설팜칼륨:0,효소처리스테비아:0,수크랄로스:0",,45,https://s3.zerofinder.co.kr/public/products/original/0NMBG53AXBR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBG670W7R00.png,https://zerofinder.co.kr/product/0NMBGKSFAKR00,zerofinder
저당 멜론 쫀득바 아이스크림,라라스윗,간식/디저트,28900,real,저당류,75,3,24,1,1.1,40,75,mL,"알룰로스,수크랄로스,아세설팜칼륨,효소처리스테비아","알룰로스:3,수크랄로스:0,아세설팜칼륨:0,효소처리스테비아:0",,12,https://s3.zerofinder.co.kr/public/products/original/0NMBCEAJ5KR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBCGW5YKR00.png,https://zerofinder.co.kr/product/0NMBFHQ433R00,zerofinder
망고 생요거트 파인트 474mL,라라스윗,간식/디저트,5900,real,저당류,80,3,17,1,3.8,30,80,mL,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스",,,6,https://s3.zerofinder.co.kr/public/products/original/0NPYBRBQS8800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMBB9AFAKR00.png,https://zerofinder.co.kr/product/0NMBBYNJRKR00,zerofinder
저당 골드키위파인 듬뿍바 아이스크림,라라스윗,간식/디저트,9900,real,,55,4,18,,,5,70,mL,"알룰로스,수크랄로스,아세설팜칼륨,에리스리톨","알룰로스:1,수크랄로스:0,아세설팜칼륨:0,에리스리톨:1",,52,https://s3.zerofinder.co.kr/public/products/original/0NMB8TG777R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMB8VV7ZKR00.png,https://zerofinder.co.kr/product/0NMB9H20MFR00,zerofinder
저당 애플망고 생요거트바 아이스크림,라라스윗,간식/디저트,7110,real,저당류,75,3,18,1,2.7,25,75,mL,"알룰로스,에리스리톨,아세설팜칼륨,수크랄로스","알룰로스:1,에리스리톨:2,아세설팜칼륨:0,수크랄로스:0",,22,https://s3.zerofinder.co.kr/public/products/original/0NMAY8CPRZR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NMAYAFF2BR00.png,https://zerofinder.co.kr/product/0NMB5ADFB3R00,zerofinder
덴마크 드링킹 요구르트 제로 플레인,동원F&B(에프앤비) 정읍공장,유제품,11600,estimated,저당류,47,4.73,10.18,3.64,0,55,100,mL,,,,13,https://s3.zerofinder.co.kr/public/products/original/0NJQJWR07V000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQJY6W93000.png,https://zerofinder.co.kr/product/0PCNV3FZFXHG7,zerofinder
덴마크 드링킹 요구르트 제로 사과,동원,유제품,14140,danawa,저당류,47,4.73,9.82,3.64,0,55,100,mL,말티톨,말티톨:0,,48,https://s3.zerofinder.co.kr/public/products/original/0NJQHYNRRF000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQJ8B8G3000.png,https://zerofinder.co.kr/product/0PCNV3FZDMZ1D,zerofinder
제로윗 당제로 초코 모나카,펄세스,간식/디저트,20800,estimated,무당류,106,0,20.72,1.43,6.43,26,100,mL,"알룰로스,에리스리톨,수크랄로스","알룰로스:0,에리스리톨:0,수크랄로스:0",,39,https://s3.zerofinder.co.kr/public/products/original/0NJQGDAWVZ000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NJQGM3FWQ000.png,https://zerofinder.co.kr/product/0PCNV3FZDGNC6,zerofinder
제로아워 알파시디 애사비 사과맛,건강한사람들,음료,15200,estimated,무당류,3,0,3.14,0,0,9,100,mL,"에리스리톨,수크랄로스,스테비올 배당체","에리스리톨:0,수크랄로스:0,스테비올 배당체:0",,32,https://s3.zerofinder.co.kr/public/products/original/0NJQFWBSZV000.png,,https://zerofinder.co.kr/product/0PCNV3FZDETPZ,zerofinder
모구모구 제로슈가 써머베리,모구모구,음료,14200,estimated,무당류,8,0,2,0,0,85,100,mL,"아세설팜칼륨,수크랄로스,스테비올 배당체","아세설팜칼륨:0,수크랄로스:0,스테비올 배당체:0",,10,https://s3.zerofinder.co.kr/public/products/original/0NJQF58AGV000.png,,https://zerofinder.co.kr/product/0PCNV3FZD9BT1,zerofinder
파리의 이온비타제로 납작복숭아 레몬,퓨어플러스,음료,47520,real,무당류,1,0,2.5,0,0,35,100,mL,"에리스리톨,수크랄로스","에리스리톨:0,수크랄로스:0",,18,https://s3.zerofinder.co.kr/public/products/original/0NJQDZ8463000.png,,https://zerofinder.co.kr/product/0PCNV3FZD7E9P,zerofinder
하이드로 웨이 제로 바닐라,바이오테크,음료,96480,danawa,무당류,264,0,8,58,0,1350,100,g,수크랄로스,수크랄로스:0,,6,https://s3.zerofinder.co.kr/public/products/original/0NJ26TCK4R400.png,,https://zerofinder.co.kr/product/0PCNV3FZD19TQ,zerofinder
슈퍼제로 락토프리 우유,남양,유제품,2490,real,저당류,34,4.6,5.5,3,0,50,100,mL,,,,40,https://s3.zerofinder.co.kr/public/products/original/0NJ26MYK4C400.png,,https://zerofinder.co.kr/product/0PCZ71C2A6N4D,zerofinder
포지타노 제로슈가 캔디 레몬맛,페를레디솔레,간식/디저트,4830,real,무당류,92,0,38.4,0,0,0,100,g,"이소말트,D-소비톨액,아세설팜칼륨,수크랄로스","이소말트:0,D-소비톨액:0,아세설팜칼륨:0,수크랄로스:0",,17,https://s3.zerofinder.co.kr/public/products/original/0NJ263XCB0400.png,,https://zerofinder.co.kr/product/0PCNV3FZD14FX,zerofinder
뉴욕 셀처 블랙 체리 맛 스파클링 워터 제로,튤립인터내셔널,음료,26700,estimated,무당류,9,0,2.31,0.02,0,15,100,mL,,,,49,https://s3.zerofinder.co.kr/public/products/original/0NJ25CDKHG400.png,,https://zerofinder.co.kr/product/0PCNV3FZD0G5K,zerofinder
제로슈가 단백질바 피넛버터 다크초콜릿,KIND,간식/디저트,18100,estimated,저당류,150,1,14,5,12,65,35,g,알룰로스,알룰로스:0,,19,https://s3.zerofinder.co.kr/public/products/original/0NJ24Q2XT4400.png,,https://zerofinder.co.kr/product/0PCNV3FZCZSJS,zerofinder
오로바일렌 피쿠알 엑스트라버진 올리브오일,오로바일렌,유제품,14000,estimated,무당류,837,0,0,0,93,0,100,mL,,,,22,https://s3.zerofinder.co.kr/public/products/original/0NHWN4J8C0400.png,,https://zerofinder.co.kr/product/0PCNV3FZCXJTW,zerofinder
서울팩토리 제로 티 베이스 캐모마일&사과향 아이스티 액상,서울팩토리,음료,29500,real,저당류,23,1,41,0,0,80,100,g,"아세설팜칼륨,수크랄로스,아라비아검","아세설팜칼륨:0,수크랄로스:0,아라비아검:0",,56,https://s3.zerofinder.co.kr/public/products/original/0NHSSA5A2G400.png,,https://zerofinder.co.kr/product/0PCNV3FZF0BB6,zerofinder
자몽 허니  블랙 티 베이스 제로,푸른나무,음료,17920,danawa,저당류,33,2,8,0,0.2,0,100,g,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,53,https://s3.zerofinder.co.kr/public/products/original/0NHSR6HN0C400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0NHSRDJMK4400.png,https://zerofinder.co.kr/product/0PCNV3FZCXHJH,zerofinder
제로푸냥이 푸딩젤리 라임콜라맛,건영제과,간식/디저트,21700,estimated,무당류,0,0,0,0,0,17,100,g,"수크랄로스,아세설팜칼륨,에리스리톨","수크랄로스:0,아세설팜칼륨:0,에리스리톨:0",,49,https://s3.zerofinder.co.kr/public/products/original/0NHSQVC3W4400.png,,https://zerofinder.co.kr/product/0PCNV3FZCXA5E,zerofinder
아질산나트륨 무첨가 저먼제로 비엔나,태림에프웰,육가공품,19200,estimated,저당류,314,1,6,14,26,525,100,g,,,,22,https://s3.zerofinder.co.kr/public/products/original/0NHSQ9TSP4400.png,,https://zerofinder.co.kr/product/0PCNV3FZCWXDJ,zerofinder
잇츠베러 제로슈가 쿠키 더블초코,잇츠베러,간식/디저트,2410,real,무당류,440,0,62.5,15,20,600,100,g,"D-말티톨,수크랄로스","D-말티톨:0,수크랄로스:0",,14,https://s3.zerofinder.co.kr/public/products/original/0NHSPERK3M400.png,,https://zerofinder.co.kr/product/0PCNV3FZCWJTS,zerofinder
멜론,더단백,음료,39900,danawa,무당류,109,0.9,5.7,20,0.7,23,250,mL,"알룰로스,수크랄로스,아세설팜칼륨","알룰로스:1.6,수크랄로스:0,아세설팜칼륨:0",,53,https://s3.zerofinder.co.kr/public/products/original/0MNZ1BVT6Z000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MNZ1FSAJB000.png,https://zerofinder.co.kr/product/0MNZ207K6F000,zerofinder
그릭슈바인 제로닭 청양고추,에스피씨삼립 서천공장,육가공품,11900,real,무당류,167,0,0.8,14,12,500,80,g,효소처리스테비아,효소처리스테비아:0,,26,https://s3.zerofinder.co.kr/public/products/original/0MJQVQPYQX400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M2EAXG0W6W00.png,https://zerofinder.co.kr/product/0PCNV3FZ8E4B8,zerofinder
오늘좋은 아샷추 복숭아 제로,태웅식품,음료,5040,danawa,,4,0.0,1.0,0.0,0.0,0.0,100,mL,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,29,https://s3.zerofinder.co.kr/public/products/original/0MEN5QWM29400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MEN5R38P1400.png,https://zerofinder.co.kr/product/0MEN5ZH9D1400,zerofinder
링티 제로 복숭아맛,삼양,음료,25830,danawa,,0,0.0,2.6,0.0,0.0,32.0,340,g,"에리스리톨,아라비아검,수크랄로스","에리스리톨:0,아라비아검:0,수크랄로스:0",,59,https://s3.zerofinder.co.kr/public/products/original/0MEN5BSK8H400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MEN5C3BXX400.png,https://zerofinder.co.kr/product/0MEN5JPTPS400,zerofinder
닥터로빈 제로 떡볶이 로제,한맥푸드,즉석식품,26100,estimated,무당류,160,0,37,1,3,246,100,g,"에리스리톨,알룰로스","에리스리톨:0,알룰로스:0",,21,https://s3.zerofinder.co.kr/public/products/original/0MEN4T278D400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MEN4TRF91400.png,https://zerofinder.co.kr/product/0MEN526FHS400,zerofinder
고단백 저당 슬랩,널담,간식/디저트,18540,danawa,무당류,223,1.5,39,14,1.4,435,600,g,,,,51,https://s3.zerofinder.co.kr/public/products/original/0MDX5N56JS400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDX5QGYA9400.png,https://zerofinder.co.kr/product/0MDX5XQ489400,zerofinder
고단백 배꼽 베이글 플레인,널담,간식/디저트,7660,danawa,저당류,391,1.5,61,21,8,658,140,g,에리스리톨,에리스리톨:0,,12,https://s3.zerofinder.co.kr/public/products/original/0MDX53D0DH400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDX4QW2S1400.png,https://zerofinder.co.kr/product/0MDX50XBD5400,zerofinder
고단백 저당 포카치아 토마토바질치즈,널담,간식/디저트,15500,danawa,저당류,184,3.2,24,15,3.1,401,90,g,,,,29,https://s3.zerofinder.co.kr/public/products/original/0MDX304FDS400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDX2N24PD400.png,https://zerofinder.co.kr/product/0MDX2XEE9X400,zerofinder
고단백 저당 포카치아 감자페퍼,널담,간식/디저트,15400,danawa,저당류,232,2.5,28,16,5.9,635,90,g,,,,23,https://s3.zerofinder.co.kr/public/products/original/0MDQ5RRH19400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDQ5R93TN400.png,https://zerofinder.co.kr/product/0MDQ62MJPX400,zerofinder
프로틴 초코맛,얼티브,음료,21320,danawa,무당류,125,0,2,21,3.9,330,250,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,44,https://s3.zerofinder.co.kr/public/products/original/0MDQ37SJ51400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDQ3991CX400.png,https://zerofinder.co.kr/product/0MDQ3FREPS400,zerofinder
프로틴 바나나,얼티브,음료,49000,danawa,무당류,115,0,0,21,3.4,450,250,mL,"수크랄로스,아세설팜칼륨","수크랄로스:0,아세설팜칼륨:0",,28,https://s3.zerofinder.co.kr/public/products/original/0MDQ2SX51H400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDQ2VAZCH400.png,https://zerofinder.co.kr/product/0MDQ318849400,zerofinder
프로틴 로얄밀크티향,얼티브,음료,54660,danawa,무당류,115,0,1,20,3.3,380,250,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,50,https://s3.zerofinder.co.kr/public/products/original/0MDQ2CSYDS400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDQ2EYW4N400.png,https://zerofinder.co.kr/product/0MDQ2N50TX400,zerofinder
프로틴 피스타치오맛,얼티브,음료,54390,danawa,무당류,115,0,1,21,3.1,420,250,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,47,https://s3.zerofinder.co.kr/public/products/original/0MDQ1ZWTCD400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDQ2225RH400.png,https://zerofinder.co.kr/product/0MDQ280Y05400,zerofinder
프로틴 쌀밥맛,얼티브,음료,45600,danawa,,45,0.0,0.14,8.5,1.2,131.0,250,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,23,https://s3.zerofinder.co.kr/public/products/original/0MDPZQCD4N400.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDPZQMMSX400.png,https://zerofinder.co.kr/product/0MDQ029T9H400,zerofinder
프로틴 단백질 밤맛,얼티브,음료,29900,danawa,,53,0.0,3.17,8.32,0.75,129.0,250,mL,"아세설팜칼륨,수크랄로스","아세설팜칼륨:0,수크랄로스:0",,59,https://s3.zerofinder.co.kr/public/products/original/0MDPZ5HYEW800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDPZ5KGBM800.png,https://zerofinder.co.kr/product/0MDPZFFC15400,zerofinder
맛있는 곤약젤리 골드키위 & 파인,슈가로로,간식/디저트,13700,estimated,,3,0.0,8.0,0.0,0.0,50.0,150,g,"에리스리톨,수크랄로스","에리스리톨:11,수크랄로스:0",,11,https://s3.zerofinder.co.kr/public/products/original/0MDCBRN92RM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDCAPYWGCM00.png,https://zerofinder.co.kr/product/0MDCB1WK5GM00,zerofinder
맛있는 곤약젤리 청포도,슈가로로,간식/디저트,14980,danawa,,3,0.0,9.33,0.0,0.0,57.0,150,g,"에리스리톨,수크랄로스","에리스리톨:12,수크랄로스:0",,34,https://s3.zerofinder.co.kr/public/products/original/0MDC8ZYP08M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDC92VCJCM00.png,https://zerofinder.co.kr/product/0MDC98ZG8MM00,zerofinder
맛있는 곤약젤리 망고,슈가로로,간식/디저트,13900,danawa,,3,0.0,7.33,0.0,0.0,60.0,150,g,"에리스리톨,수크랄로스","에리스리톨:12.5,수크랄로스:0",,28,https://s3.zerofinder.co.kr/public/products/original/0MDC8AFDXCM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDC8CTB5RM00.png,https://zerofinder.co.kr/product/0MDC8MM794M00,zerofinder
맛있는 곤약젤리 복숭아,슈가로로,간식/디저트,27000,danawa,,3,0.0,8.67,0.0,0.0,80.0,150,g,"에리스리톨,수크랄로스","에리스리톨:12,수크랄로스:0",,27,https://s3.zerofinder.co.kr/public/products/original/0MDC7AZK20M00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDC7EBESGM00.png,https://zerofinder.co.kr/product/0MDC7P1XX0M00,zerofinder
무설탕 비타민 구미 젤리 복숭아,슈가로로,간식/디저트,137220,danawa,,88,18,28,2,,10,45,g,"말티톨,D-말티톨,효소처리스테비아","말티톨:0,D-말티톨:0,효소처리스테비아:0",,22,https://s3.zerofinder.co.kr/public/products/original/0MDC6DA2NWM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDC6JWCNCM00.png,https://zerofinder.co.kr/product/0MDC6TPFFWM00,zerofinder
스파클링 샤인머스캣,슈가로로,음료,17290,real,,0,0.0,0.29,0.0,0.0,9.0,350,mL,"에리스리톨,스테비올 배당체,아세설팜칼륨","에리스리톨:1,스테비올 배당체:0,아세설팜칼륨:0",,49,https://s3.zerofinder.co.kr/public/products/original/0MDC5AKHJWM00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MDC5DQAVCM00.png,https://zerofinder.co.kr/product/0MDC5PH508M00,zerofinder
리얼 닭가슴살칩 오리지널,신선어람,육가공품,50460,danawa,저당류,110,1,1,23,1.3,220,30,g,,,,45,https://s3.zerofinder.co.kr/public/products/original/0MC2ZHZWGY000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MC2ZN2RWP000.png,https://zerofinder.co.kr/product/0MC2ZSW3TJ000,zerofinder
리얼 닭가슴살칩 블랙페퍼,신선어람,육가공품,15100,estimated,저당류,105,1,2,22,1.2,220,30,g,,,,51,https://s3.zerofinder.co.kr/public/products/original/0MC2YDE5F2000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MC2YF49JA000.png,https://zerofinder.co.kr/product/0MC2Z6026Y000,zerofinder
리얼 닭가슴살칩 허브갈릭,신선어람,육가공품,16300,estimated,저당류,110,1,0,23,1.3,210,30,g,,,,34,https://s3.zerofinder.co.kr/public/products/original/0MC2WWGWXE000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MC2WXG0P2000.png,https://zerofinder.co.kr/product/0MC2XT2962000,zerofinder
리얼 닭가슴살칩 스파이시,신선어람,육가공품,22040,danawa,,115,2,3,22,1.5,310,30,g,효소처리스테비아,효소처리스테비아:0,,45,https://s3.zerofinder.co.kr/public/products/original/0MC2W58K3P000.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0MC2W7B276000.png,https://zerofinder.co.kr/product/0MC2WJKSBP000,zerofinder
제로슈가 춘천식 닭갈비,한강식품,육가공품,23500,estimated,무당류,203,0,6,11.1,15.26,400,100,g,효소처리스테비아,효소처리스테비아:0,,19,https://s3.zerofinder.co.kr/public/products/original/0MBB8KQYPBR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M1DK7C47T400.png,https://zerofinder.co.kr/product/0PCNV3FZ68T0R,zerofinder
밀크초코볼 헤이즐넛,마이노멀,간식/디저트,20000,estimated,,163,2,11,3,15,10,30,g,알룰로스,알룰로스:7,,58,https://s3.zerofinder.co.kr/public/products/original/0M9GWR17V3R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GWK2X8KR00.png,https://zerofinder.co.kr/product/0M9GWW64ZZR00,zerofinder
초콜릿 아이스크림,마이노멀,간식/디저트,9600,real,저당류,120,2,14,3,10,25,100,mL,"알룰로스,효소처리스테비아","알룰로스:7,효소처리스테비아:0",,54,https://s3.zerofinder.co.kr/public/products/original/0M9GW1NZ2FR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GW20GFKR00.png,https://zerofinder.co.kr/product/0M9GW762QZR00,zerofinder
알룰로스,마이노멀,기타,29000,danawa,,10,0.0,76.0,0.0,0.0,0.0,350,g,"스테비올 배당체,나한과추출분말,알룰로스","스테비올 배당체:0,나한과추출분말:0,알룰로스:99",,19,https://s3.zerofinder.co.kr/public/products/original/0M9GVGRW9QR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GVJ8Z5BR00.png,https://zerofinder.co.kr/product/0M9GVNJZB7R00,zerofinder
저당 바닐라 라떼,마이노멀,음료,31720,danawa,저당류,110,8,22,5,5,90,250,mL,"알룰로스,효소처리스테비아,나한과추출분말","알룰로스:11,효소처리스테비아:0,나한과추출분말:0",,56,https://s3.zerofinder.co.kr/public/products/original/0M9GTZ56PKR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GV11N7ZR00.png,https://zerofinder.co.kr/product/0M9GV6VM3VR00,zerofinder
제로젤리 포도베어,마이노멀,간식/디저트,14900,estimated,무당류,40,0,28,3,0,0,38,g,"알룰로스,효소처리스테비아","알룰로스:15,효소처리스테비아:0",,22,https://s3.zerofinder.co.kr/public/products/original/0M9GT57FQQR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GT75DEQR00.png,https://zerofinder.co.kr/product/0M9GTMAAN7R00,zerofinder
무가당 땅콩버터 스틱 크런치,마이노멀,간식/디저트,31720,danawa,저당류,120,1,4,6,9,0,20,g,,,,41,https://s3.zerofinder.co.kr/public/products/original/0M9GSATAZFR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GSC7AY7R00.png,https://zerofinder.co.kr/product/0M9GSMRJY7R00,zerofinder
오리지널 디카페인 방탄커피,마이노멀,음료,43830,danawa,무당류,150,0,3.8,2,13.8,20,230,mL,,,,25,https://s3.zerofinder.co.kr/public/products/original/0M9GRTYHCVR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GRXNXVBR00.png,https://zerofinder.co.kr/product/0M9GS6T297R00,zerofinder
바닐라 아이스크림,마이노멀,간식/디저트,13400,estimated,저당류,110,2,14.7,2.7,7.4,30,100,g,"알룰로스,효소처리스테비아","알룰로스:6,효소처리스테비아:0",,36,https://s3.zerofinder.co.kr/public/products/original/0M9GR1BZZVR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M9GR1MS27R00.png,https://zerofinder.co.kr/product/0M9GRDMM0BR00,zerofinder
초코잼,마이노멀,조미료/소스,12900,estimated,저당류,210,3.3,49,7,15,80,100,g,"알룰로스,나한과추출분말,효소처리스테비아","알룰로스:37,나한과추출분말:0,효소처리스테비아:0",,46,https://s3.zerofinder.co.kr/public/products/original/0M96XNXMABR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96XR9JT3R00.png,https://zerofinder.co.kr/product/0M96XYT2H7R00,zerofinder
저당 굴소스,마이노멀,조미료/소스,7970,real,무당류,20,0,29,3,0,4050,100,g,"알룰로스,나한과추출분말","알룰로스:27,나한과추출분말:0",,34,https://s3.zerofinder.co.kr/public/products/original/0M96WCKNWFR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96WG5WEVR00.png,https://zerofinder.co.kr/product/0M96WP17ZKR00,zerofinder
저당 저칼로리 블루베리잼,마이노멀,조미료/소스,12250,real,저당류,30,4.8,62,1,0,3,100,g,알룰로스,알룰로스:55,,14,https://s3.zerofinder.co.kr/public/products/original/0M96W0ZB7KR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96W1ZH6BR00.png,https://zerofinder.co.kr/product/0M96W5ZHYQR00,zerofinder
저당 고추장,마이노멀,조미료/소스,11400,estimated,,88,3.0,36.0,7.0,2.4,2600.0,100,g,알룰로스,알룰로스:29,,20,https://s3.zerofinder.co.kr/public/products/original/0M96VJH9VZR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96VKA677R00.png,https://zerofinder.co.kr/product/0M96VRES7KR00,zerofinder
무가당 땅콩버터 100% 크런치,마이노멀,조미료/소스,10900,danawa,,620,6,21,28,47,0,100,g,,,,39,https://s3.zerofinder.co.kr/public/products/original/0M96TXWR27R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96V1YJNZR00.png,https://zerofinder.co.kr/product/0M96VBEGZ7R00,zerofinder
저당 머스타드,마이노멀,조미료/소스,40580,danawa,무당류,144,0,29,2,12,770,100,g,"알룰로스,스테비올 배당체","알룰로스:21,스테비올 배당체:0",,42,https://s3.zerofinder.co.kr/public/products/original/0M96TCK28FR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96TDPY1BR00.png,https://zerofinder.co.kr/product/0M96TR4FMZR00,zerofinder
저당 드레싱 참깨흑임자,마이노멀,조미료/소스,20330,danawa,무당류,315,0,14,2,34,520,100,g,"알룰로스,스테비올 배당체","알룰로스:14,스테비올 배당체:0",,42,https://s3.zerofinder.co.kr/public/products/original/0M96SJBTW3R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96SMC9DQR00.png,https://zerofinder.co.kr/product/0M96SV03AQR00,zerofinder
저당 오리엔탈 드레싱,마이노멀,조미료/소스,20330,danawa,무당류,65,0,25,2,6,1720,100,g,"알룰로스,스테비올 배당체","알룰로스:24,스테비올 배당체:0",,19,https://s3.zerofinder.co.kr/public/products/original/0M96S10SE7R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96S63GZBR00.png,https://zerofinder.co.kr/product/0M96SCB5FVR00,zerofinder
저칼로리 케찹,마이노멀,조미료/소스,15900,danawa,저당류,37,5,20,2,0.5,1140,100,g,"알룰로스,스테비올 배당체","알룰로스:13,스테비올 배당체:0",,13,https://s3.zerofinder.co.kr/public/products/original/0M96RDWBV3R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96RFMQ0ZR00.png,https://zerofinder.co.kr/product/0M96RWDNJQR00,zerofinder
딸기잼,마이노멀,조미료/소스,14200,estimated,저당류,30,3,62,1,0,5,100,g,알룰로스,알룰로스:55,,10,https://s3.zerofinder.co.kr/public/products/original/0M96QQQNV7R00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96QRKBC3R00.png,https://zerofinder.co.kr/product/0M96R72MYFR00,zerofinder
저당 마요네즈,마이노멀,조미료/소스,40900,danawa,무당류,560,0,8,1,60,610,100,g,"스테비올 배당체,알룰로스","스테비올 배당체:0,알룰로스:3",,60,https://s3.zerofinder.co.kr/public/products/original/0M96N4XZQZR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96N8R7QFR00.png,https://zerofinder.co.kr/product/0M96NG14QVR00,zerofinder
저당 저칼로리 알룰로스,마이노멀,조미료/소스,45950,danawa,저당류,8,1,72,0,0,0,100,g,"알룰로스,스테비올 배당체,아라비아검","알룰로스:70,스테비올 배당체:0,아라비아검:0",,45,https://s3.zerofinder.co.kr/public/products/original/0M96MVBJQZR00.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M96M8J743R00.png,https://zerofinder.co.kr/product/0M96MQT07BR00,zerofinder
뺀닭 제로슈가 닭가슴살 데리야끼맛,미가온푸드,육가공품,14900,estimated,무당류,115,0,2,22,2.1,430,100,g,"알룰로스,D-소비톨액","알룰로스:0,D-소비톨액:0",,48,https://s3.zerofinder.co.kr/public/products/original/0M88TBRP36800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M88TCP04Y800.png,https://zerofinder.co.kr/product/0PCNV3FZEZ7WG,zerofinder
뺀닭 제로슈가 닭가슴살 허니갈릭맛,미가온푸드,육가공품,19200,estimated,무당류,110,0,7,18,1.1,550,100,g,알룰로스,알룰로스:0,,9,https://s3.zerofinder.co.kr/public/products/original/0M88SKSSXJ800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M88SJDWQE800.png,https://zerofinder.co.kr/product/0PCNV3FZCVXRP,zerofinder
젤리블리 제로슈거 납작복숭아 젤리,젤리블리,간식/디저트,15800,estimated,무당류,4,0,9.8,0,0,45,60,g,"에리스리톨,수크랄로스,효소처리스테비아","에리스리톨:8.72,수크랄로스:0,효소처리스테비아:0",,43,https://s3.zerofinder.co.kr/public/products/original/0M88R748JJ800.png,https://s3.zerofinder.co.kr/public/nutritionfacts/0M88R7VYTP800.png,https://zerofinder.co.kr/product/0PCNV3FZCS8FN,zerofinder
